,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
0,Group 1,task-4,Resource26,Confirmation of receipt,2010-10-02 07:20:39.266000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
1,Group 4,task-5,Resource26,T02 Check confirmation of receipt,2010-10-02 07:21:26.588000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
2,Group 1,task-7,Resource26,T03 Adjust confirmation of receipt,2010-10-02 07:31:12.836000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
3,Group 4,task-8,Resource26,T02 Check confirmation of receipt,2010-10-02 07:31:40.160000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
4,Group 1,task-9,Resource26,T03 Adjust confirmation of receipt,2010-10-02 07:32:01.401000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
5,Group 4,task-10,Resource21,T02 Check confirmation of receipt,2010-11-09 13:13:52.563000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
6,Group 3,task-1275,Resource21,T04 Determine confirmation of receipt,2010-11-09 13:14:10.016000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
7,Group 2,task-1276,Resource21,T05 Print and send confirmation of receipt,2010-11-09 13:14:22.628000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
8,Group 1,task-6,Resource21,T06 Determine necessity of stop advice,2010-11-09 13:14:37.300000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
9,Group 13,task-1277,Resource21,T07-1 Draft intern advice aspect 1,2010-11-09 13:17:36.097000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
10,Group 1,task-1278,Resource26,T06 Determine necessity of stop advice,2010-11-10 06:52:33.800000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
11,Group 13,task-1335,Resource26,T07-1 Draft intern advice aspect 1,2010-11-10 06:52:51.041000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
12,Group 1,task-1336,Resource26,T06 Determine necessity of stop advice,2010-11-10 06:53:08.065000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
13,Group 1,task-1337,admin1,T10 Determine necessity to stop indication,2010-11-10 08:38:45.959000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
14,Group 1,task-1338,admin1,T11 Create document X request unlicensed,2010-11-10 08:38:57.202000+00:00,complete,2010-09-30 22:00:00.020000+00:00,Resource26,2010-11-25 23:00:00.010000+00:00,General,,case-891,2010-11-25 23:00:00+00:00,Internet,2010-11-12 12:40:44.661000+00:00
