,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
0,EMPTY,task-7909,Resource18,Confirmation of receipt,2011-01-14 15:03:09.840000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
1,Group 1,task-8452,Resource18,T06 Determine necessity of stop advice,2011-01-17 08:06:42.726000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
2,Group 1,task-8480,Resource18,T10 Determine necessity to stop indication,2011-01-17 08:09:14.670000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
3,EMPTY,task-8451,Resource24,T02 Check confirmation of receipt,2011-01-17 12:47:49.460000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
4,Group 1,task-8634,Resource18,T03 Adjust confirmation of receipt,2011-01-20 12:39:54.930000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
5,Group 4,task-9078,Resource18,T02 Check confirmation of receipt,2011-01-20 12:40:10.916000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
6,Group 3,task-9079,Resource18,T04 Determine confirmation of receipt,2011-01-20 12:41:34.147000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
7,Group 2,task-9080,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:04:54.827000+00:00,complete,2010-12-28 00:06:40.010000+00:00,Resource18,2011-06-06 23:06:40.020000+00:00,General,,case-5275,2011-06-06 23:06:40+00:00,Internet,2011-06-07 13:05:26.063000+00:00
8,Group 1,task-8466,admin2,Confirmation of receipt,2011-01-15 12:42:05.411000+00:00,complete,2011-01-14 23:00:00.010000+00:00,admin3,2011-03-11 23:00:00.010000+00:00,Customer contact,,case-5337,2011-03-11 23:00:00+00:00,Internet,2011-01-15 12:42:03.349000+00:00
9,EMPTY,task-7700,Resource09,Confirmation of receipt,2011-01-17 08:36:13.653000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
10,Group 1,task-8491,Resource09,T06 Determine necessity of stop advice,2011-01-17 08:41:11.425000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
11,Group 1,task-8498,Resource09,T10 Determine necessity to stop indication,2011-01-17 08:41:38.083000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
12,EMPTY,task-8490,Resource24,T02 Check confirmation of receipt,2011-01-17 11:38:43.397000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
13,Group 3,task-8604,Resource10,T04 Determine confirmation of receipt,2011-01-19 13:55:55.230000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
14,Group 2,task-8966,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:43:44.009000+00:00,complete,2010-12-05 23:00:00.010000+00:00,Resource09,2011-01-30 23:00:00.010000+00:00,General,,case-5250,2011-01-30 23:00:00+00:00,Internet,2011-02-09 10:50:34.042000+00:00
15,EMPTY,task-7233,Resource08,Confirmation of receipt,2011-01-17 08:36:33.985000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
16,EMPTY,task-8492,Resource08,T02 Check confirmation of receipt,2011-01-17 08:37:09.764000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
17,Group 3,task-8494,Resource08,T04 Determine confirmation of receipt,2011-01-17 08:37:39.327000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
18,EMPTY,task-8495,Resource08,T05 Print and send confirmation of receipt,2011-01-17 08:38:16.995000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
19,Group 1,task-8493,Resource08,T06 Determine necessity of stop advice,2011-01-17 08:38:26.926000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
20,Group 1,task-8496,Resource08,T10 Determine necessity to stop indication,2011-01-17 08:38:45.924000+00:00,complete,2011-01-06 23:00:00.010000+00:00,Resource08,2011-03-03 23:00:00.010000+00:00,General,,case-5194,2011-03-03 23:00:00+00:00,e-mail,2011-02-08 14:36:36.783000+00:00
21,EMPTY,task-5410,Resource02,Confirmation of receipt,2011-01-17 10:08:48.046000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
22,EMPTY,task-8559,Resource02,T02 Check confirmation of receipt,2011-01-17 10:09:50.532000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
23,Group 3,task-8561,Resource10,T04 Determine confirmation of receipt,2011-01-17 10:58:20.624000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
24,Group 1,task-8560,Resource02,T06 Determine necessity of stop advice,2011-01-18 07:41:58.518000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
25,Group 1,task-8703,Resource02,T10 Determine necessity to stop indication,2011-01-18 07:42:16.927000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
26,Group 2,task-8585,admin1,T05 Print and send confirmation of receipt,2011-01-18 09:12:55.742000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4922,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:36:29.855000+00:00
27,EMPTY,task-5411,Resource02,Confirmation of receipt,2011-01-17 10:50:08.510000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
28,EMPTY,task-8573,Resource02,T02 Check confirmation of receipt,2011-01-17 10:50:56.307000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
29,Group 3,task-8575,Resource10,T04 Determine confirmation of receipt,2011-01-17 11:08:19.897000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
30,Group 1,task-8574,Resource02,T06 Determine necessity of stop advice,2011-01-18 08:48:46.250000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
31,EMPTY,task-8735,Resource02,T07-1 Draft intern advice aspect 1,2011-01-18 08:49:33.297000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
32,Group 1,task-8736,Resource02,T06 Determine necessity of stop advice,2011-01-18 08:49:51.532000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
33,Group 1,task-8737,Resource02,T10 Determine necessity to stop indication,2011-01-18 08:50:05.744000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
34,Group 2,task-8594,admin1,T05 Print and send confirmation of receipt,2011-01-18 09:09:36.866000+00:00,complete,2010-12-15 23:00:00.010000+00:00,Resource02,2011-02-09 23:00:00.010000+00:00,General,,case-4923,2011-02-09 23:00:00+00:00,Post,2011-02-11 10:28:04.497000+00:00
35,EMPTY,task-7566,Resource04,Confirmation of receipt,2011-01-17 12:08:29.581000+00:00,complete,2010-12-27 00:06:40.010000+00:00,Resource04,2011-03-20 00:06:40.010000+00:00,General,,case-5243,2011-03-20 00:06:40+00:00,Internet,2011-03-16 15:29:55.520000+00:00
36,Group 4,task-8607,Resource04,T02 Check confirmation of receipt,2011-01-17 12:08:52.108000+00:00,complete,2010-12-27 00:06:40.010000+00:00,Resource04,2011-03-20 00:06:40.010000+00:00,General,,case-5243,2011-03-20 00:06:40+00:00,Internet,2011-03-16 15:29:55.520000+00:00
37,Group 1,task-8608,Resource04,T06 Determine necessity of stop advice,2011-01-17 12:09:12.513000+00:00,complete,2010-12-27 00:06:40.010000+00:00,Resource04,2011-03-20 00:06:40.010000+00:00,General,,case-5243,2011-03-20 00:06:40+00:00,Internet,2011-03-16 15:29:55.520000+00:00
38,Group 1,task-8610,Resource04,T10 Determine necessity to stop indication,2011-01-17 12:09:27.162000+00:00,complete,2010-12-27 00:06:40.010000+00:00,Resource04,2011-03-20 00:06:40.010000+00:00,General,,case-5243,2011-03-20 00:06:40+00:00,Internet,2011-03-16 15:29:55.520000+00:00
39,Group 3,task-8609,Resource10,T04 Determine confirmation of receipt,2011-01-19 13:57:14.202000+00:00,complete,2010-12-27 00:06:40.010000+00:00,Resource04,2011-03-20 00:06:40.010000+00:00,General,,case-5243,2011-03-20 00:06:40+00:00,Internet,2011-03-16 15:29:55.520000+00:00
40,Group 2,task-8967,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:02:55.996000+00:00,complete,2010-12-27 00:06:40.010000+00:00,Resource04,2011-03-20 00:06:40.010000+00:00,General,,case-5243,2011-03-20 00:06:40+00:00,Internet,2011-03-16 15:29:55.520000+00:00
41,Group 1,task-8085,Resource04,Confirmation of receipt,2011-01-17 12:52:35.916000+00:00,complete,2010-12-29 00:06:40.010000+00:00,Resource04,2011-03-19 00:06:40.010000+00:00,General,,case-5297,2011-03-19 00:06:40+00:00,Internet,2011-03-16 13:41:16.283000+00:00
42,Group 4,task-8635,Resource04,T02 Check confirmation of receipt,2011-01-17 12:52:51.477000+00:00,complete,2010-12-29 00:06:40.010000+00:00,Resource04,2011-03-19 00:06:40.010000+00:00,General,,case-5297,2011-03-19 00:06:40+00:00,Internet,2011-03-16 13:41:16.283000+00:00
43,Group 1,task-8636,Resource04,T06 Determine necessity of stop advice,2011-01-17 12:53:08.838000+00:00,complete,2010-12-29 00:06:40.010000+00:00,Resource04,2011-03-19 00:06:40.010000+00:00,General,,case-5297,2011-03-19 00:06:40+00:00,Internet,2011-03-16 13:41:16.283000+00:00
44,Group 1,task-8638,Resource04,T10 Determine necessity to stop indication,2011-01-17 12:53:38.250000+00:00,complete,2010-12-29 00:06:40.010000+00:00,Resource04,2011-03-19 00:06:40.010000+00:00,General,,case-5297,2011-03-19 00:06:40+00:00,Internet,2011-03-16 13:41:16.283000+00:00
45,Group 3,task-8637,Resource10,T04 Determine confirmation of receipt,2011-01-19 14:05:34.699000+00:00,complete,2010-12-29 00:06:40.010000+00:00,Resource04,2011-03-19 00:06:40.010000+00:00,General,,case-5297,2011-03-19 00:06:40+00:00,Internet,2011-03-16 13:41:16.283000+00:00
46,Group 2,task-8974,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:48:28.585000+00:00,complete,2010-12-29 00:06:40.010000+00:00,Resource04,2011-03-19 00:06:40.010000+00:00,General,,case-5297,2011-03-19 00:06:40+00:00,Internet,2011-03-16 13:41:16.283000+00:00
47,Group 1,task-8365,Resource09,Confirmation of receipt,2011-01-17 12:58:21.153000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
48,Group 1,task-8643,Resource09,T06 Determine necessity of stop advice,2011-01-17 12:59:31.321000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
49,Group 1,task-8648,Resource09,T10 Determine necessity to stop indication,2011-01-17 13:00:14.123000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
50,Group 4,task-8642,Resource10,T02 Check confirmation of receipt,2011-01-19 14:06:31.204000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
51,Group 3,task-8976,Resource10,T04 Determine confirmation of receipt,2011-01-19 14:09:37.013000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
52,Group 2,task-8989,admin1,T05 Print and send confirmation of receipt,2011-01-24 10:29:18.142000+00:00,complete,2010-12-26 23:00:00.010000+00:00,Resource09,2011-02-13 23:00:00.010000+00:00,General,,case-5311,2011-02-13 23:00:00+00:00,Desk,2011-04-14 12:12:56.814000+00:00
53,EMPTY,task-7248,Resource02,Confirmation of receipt,2011-01-17 13:09:30.414000+00:00,complete,2011-01-05 23:00:00.010000+00:00,Resource02,2011-03-02 23:00:00.010000+00:00,General,,case-5196,2011-03-02 23:00:00+00:00,Internet,2011-02-08 10:10:10.493000+00:00
54,EMPTY,task-8661,Resource02,T02 Check confirmation of receipt,2011-01-17 13:10:22.198000+00:00,complete,2011-01-05 23:00:00.010000+00:00,Resource02,2011-03-02 23:00:00.010000+00:00,General,,case-5196,2011-03-02 23:00:00+00:00,Internet,2011-02-08 10:10:10.493000+00:00
55,Group 1,task-8662,Resource02,T06 Determine necessity of stop advice,2011-01-17 14:09:43.827000+00:00,complete,2011-01-05 23:00:00.010000+00:00,Resource02,2011-03-02 23:00:00.010000+00:00,General,,case-5196,2011-03-02 23:00:00+00:00,Internet,2011-02-08 10:10:10.493000+00:00
